Year,State,Region,Democratic %,Republican %,P.S.,P.S. Score,National Winner
1992,Iowa,M,43.3,37.3,D+,0.56,Clinton
1992,Kansas,M,33.7,38.9,R+,-13.99,Clinton
1992,Kentucky,S,44.6,41.3,R+,-3.17,Clinton
1992,Louisiana,S,45.6,41.0,R+,-1.58,Clinton
1992,Maine,N,38.8,30.4,D+,5.20,Clinton
1992,Maryland,N,49.8,35.6,D+,9.69,Clinton
1992,Massachusetts,N,47.5,29.0,D+,17.27,Clinton
1992,Michigan,M,43.8,36.4,D+,2.32,Clinton
1992,Midwest,M,42.2,36.9,R+,-0.26,Clinton
1992,Minnesota,M,43.5,31.9,D+,8.53,Clinton
1992,Mississippi,S,40.8,49.7,R+,-16.77,Clinton
1992,Missouri,M,44.1,33.9,D+,6.10,Clinton
1992,Montana,W,37.6,35.1,R+,-3.46,Clinton
1992,Nebraska,M,29.4,46.6,R+,-29.52,Clinton
1992,Nevada,W,37.4,34.7,R+,-3.26,Clinton
1992,New Hampshire,N,38.9,37.6,R+,-5.32,Clinton
1992,New Jersey,N,43.0,40.6,R+,-4.07,Clinton
1992,New Mexico,W,45.9,37.3,D+,3.37,Clinton
1992,New York,N,49.7,33.9,D+,12.05,Clinton
1992,North Carolina,S,42.7,43.4,R+,-7.83,Clinton
1992,North Dakota,M,32.2,44.2,R+,-22.66,Clinton
1992,Northeast,N,46.7,34.6,D+,7.95,Clinton
1992,Ohio,M,40.2,38.3,R+,-4.57,Clinton
1992,Oklahoma,S,34.0,42.6,R+,-18.15,Clinton
1992,Oregon,W,42.5,32.5,D+,6.36,Clinton
1992,Pennsylvania,N,45.1,36.1,D+,4.19,Clinton
1992,Region,,,,,,Clinton
1992,Rhode Island,N,47.0,29.0,D+,16.78,Clinton
1992,South,S,41.2,42.4,R+,-8.34,Clinton
1992,South Carolina,S,39.9,48.0,R+,-16.18,Clinton
1992,South Dakota,M,37.1,40.7,R+,-11.43,Clinton
1992,Tennessee,S,47.1,42.4,R+,-1.71,Clinton
1992,Texas,S,37.1,40.6,R+,-11.39,Clinton
1992,Utah,W,24.7,43.4,R+,-34.42,Clinton
1992,Vermont,N,46.1,30.4,D+,13.60,Clinton
1992,Virginia,S,40.6,45.0,R+,-12.02,Clinton
1992,Washington,W,43.4,32.0,D+,8.27,Clinton
1992,Washington D.C.,N,84.6,9.1,D+,73.68,Clinton
1992,West,W,42.6,34.2,D+,4.06,Clinton
1992,West Virginia,S,48.4,35.4,D+,8.63,Clinton
1992,Wisconsin,M,41.1,36.8,R+,-1.32,Clinton
1992,Wyoming,W,34.0,39.5,R+,-14.49,Clinton
1996,Alabama,S,43.2,50.1,R+,-16.94,Clinton
1996,Alaska,W,33.3,50.8,R+,-30.33,Clinton
1996,Arizona,W,46.5,44.3,R+,-7.02,Clinton
1996,Arkansas,S,53.7,36.8,D+,9.24,Clinton
1996,California,W,51.1,38.2,D+,4.96,Clinton
1996,Colorado,W,44.4,45.8,R+,-10.99,Clinton
1996,Connecticut,N,52.8,34.7,D+,11.26,Clinton
1996,Delaware,N,51.8,36.5,D+,7.78,Clinton
1996,Florida,S,48.0,42.3,R+,-3.16,Clinton
1996,Georgia,S,45.8,47.0,R+,-10.74,Clinton
1996,Hawaii,W,56.9,31.6,D+,19.08,Clinton
1996,Idaho,W,33.6,52.2,R+,-31.07,Clinton
1996,Illinois,M,54.3,36.8,D+,9.74,Clinton
1996,Indiana,M,41.5,47.1,R+,-15.77,Clinton
1996,Iowa,M,50.3,39.9,D+,2.00,Clinton
1996,Kansas,M,36.1,54.3,R+,-29.62,Clinton
1996,Kentucky,S,45.8,44.9,R+,-8.41,Clinton
1996,Louisiana,S,52.0,39.9,D+,3.65,Clinton
1996,Maine,N,51.6,30.8,D+,15.85,Clinton
1996,Maryland,N,54.3,38.3,D+,7.81,Clinton
1996,Massachusetts,N,61.5,28.1,D+,27.81,Clinton
1996,Michigan,M,51.7,38.5,D+,5.18,Clinton
1996,Midwest,M,48.4,40.7,R+,-0.81,Clinton
1996,Minnesota,M,51.1,35.0,D+,9.29,Clinton
1996,Mississippi,S,44.1,49.2,R+,-14.96,Clinton
1996,Missouri,M,47.5,41.2,R+,-2.38,Clinton
1996,Montana,W,41.2,44.1,R+,-12.85,Clinton
1996,Nebraska,M,35.0,53.7,R+,-30.58,Clinton
1996,Nevada,W,43.9,42.9,R+,-8.30,Clinton
1996,New Hampshire,N,49.3,39.4,D+,1.75,Clinton
1996,New Jersey,N,53.7,35.9,D+,10.46,Clinton
1996,New Mexico,W,49.2,41.9,R+,-1.42,Clinton
1996,New York,N,59.5,30.6,D+,22.56,Clinton
1996,North Carolina,S,44.0,48.7,R+,-14.53,Clinton
1996,North Dakota,M,40.1,46.9,R+,-17.29,Clinton
1996,Northeast,N,55.5,33.9,D+,14.70,Clinton
1996,Ohio,M,47.4,41.0,R+,-2.28,Clinton
1996,Oklahoma,S,40.4,48.3,R+,-18.27,Clinton
1996,Oregon,W,47.2,39.1,R+,-0.08,Clinton
1996,Pennsylvania,N,49.2,40.0,D+,0.85,Clinton
1996,Region,,,,,,Clinton
1996,Rhode Island,N,59.7,26.8,D+,28.54,Clinton
1996,South,S,46.0,45.9,R+,-9.34,Clinton
1996,South Carolina,S,43.9,49.9,R+,-15.91,Clinton
1996,South Dakota,M,43.0,46.5,R+,-13.34,Clinton
1996,Tennessee,S,48.0,45.6,R+,-6.90,Clinton
1996,Texas,S,43.8,48.8,R+,-14.79,Clinton
1996,Utah,W,33.3,54.4,R+,-33.51,Clinton
1996,Vermont,N,53.4,31.1,D+,16.90,Clinton
1996,Virginia,S,45.1,47.1,R+,-11.59,Clinton
1996,Washington,W,49.8,37.3,D+,4.92,Clinton
1996,Washington D.C.,N,85.2,9.3,D+,70.78,Clinton
1996,West,W,48.2,40.5,R+,-0.89,Clinton
1996,West Virginia,S,51.5,36.8,D+,7.24,Clinton
1996,Wisconsin,M,48.8,38.5,D+,2.37,Clinton
1996,Wyoming,W,36.8,49.8,R+,-24.45,Clinton
2000,Alabama,S,41.6,56.5,R+,-15.71,Bush
2000,Alaska,W,27.7,58.6,R+,-36.41,Bush
2000,Arizona,W,44.7,51.0,R+,-7.10,Bush
2000,Arkansas,S,45.9,51.3,R+,-6.14,Bush
2000,California,W,53.4,41.7,D+,11.87,Bush
2000,Colorado,W,42.4,50.8,R+,-9.51,Bush
2000,Connecticut,N,55.9,38.4,D+,17.97,Bush
2000,Delaware,N,55.0,41.9,D+,12.94,Bush
2000,Florida,S,48.8,48.8,R+,-0.55,Bush
2000,Georgia,S,43.0,54.7,R+,-12.51,Bush
2000,Hawaii,W,55.8,37.5,D+,19.12,Bush
2000,Idaho,W,27.6,67.2,R+,-42.24,Bush
2000,Illinois,M,54.6,42.6,D+,11.82,Bush
2000,Indiana,M,41.0,56.6,R+,-16.55,Bush
2000,Iowa,M,48.5,48.2,R+,-0.21,Bush
2000,Kansas,M,37.2,58.0,R+,-22.37,Bush
2000,Kentucky,S,41.4,56.5,R+,-16.00,Bush
2000,Louisiana,S,44.9,52.6,R+,-8.42,Bush
2000,Maine,N,49.1,44.0,D+,4.96,Bush
2000,Maryland,N,56.6,40.2,D+,16.40,Bush
2000,Massachusetts,N,59.8,32.5,D+,29.04,Bush
2000,Michigan,M,51.3,46.1,D+,4.73,Bush
2000,Midwest,M,47.7,48.8,R+,-1.73,Bush
2000,Minnesota,M,47.9,45.5,D+,2.03,Bush
2000,Mississippi,S,40.7,57.6,R+,-17.74,Bush
2000,Missouri,M,47.1,50.4,R+,-3.96,Bush
2000,Montana,W,33.4,58.4,R+,-27.85,Bush
2000,Nebraska,M,33.3,62.2,R+,-30.90,Bush
2000,Nevada,W,46.0,49.5,R+,-4.25,Bush
2000,New Hampshire,N,46.8,48.1,R+,-1.88,Bush
2000,New Jersey,N,56.1,40.3,D+,15.88,Bush
2000,New Mexico,W,47.9,47.8,R+,-0.48,Bush
2000,New York,N,60.2,35.2,D+,25.66,Bush
2000,North Carolina,S,43.2,56.0,R+,-13.47,Bush
2000,North Dakota,M,33.1,60.7,R+,-29.99,Bush
2000,Northeast,N,56.4,39.0,D+,17.75,Bush
2000,Ohio,M,46.5,50.0,R+,-4.18,Bush
2000,Oklahoma,S,38.4,60.3,R+,-22.70,Bush
2000,Oregon,W,47.0,46.5,R+,-0.07,Bush
2000,Pennsylvania,N,50.6,46.4,D+,3.76,Bush
2000,Region,,,,,,Bush
2000,Rhode Island,N,61.0,31.9,D+,30.76,Bush
2000,South,S,43.2,54.5,R+,-12.09,Bush
2000,South Carolina,S,40.9,56.8,R+,-16.83,Bush
2000,South Dakota,M,37.6,60.3,R+,-23.77,Bush
2000,Tennessee,S,47.3,51.1,R+,-4.47,Bush
2000,Texas,S,38.0,59.3,R+,-22.45,Bush
2000,Utah,W,26.3,66.8,R+,-43.99,Bush
2000,Vermont,N,50.6,40.7,D+,10.34,Bush
2000,Virginia,S,44.4,52.5,R+,-8.83,Bush
2000,Washington,W,50.1,44.6,D+,5.35,Bush
2000,Washington D.C.,N,85.2,9.0,D+,80.44,Bush
2000,West,W,48.3,46.3,D+,1.64,Bush
2000,West Virginia,S,45.6,51.9,R+,-7.02,Bush
2000,Wisconsin,M,47.8,47.6,R+,-0.31,Bush
2000,Wyoming,W,27.7,67.8,R+,-42.50,Bush
2004,Alabama,S,36.8,62.5,R+,-23.31,Bush
2004,Alaska,W,35.5,61.1,R+,-23.96,Bush
